_meta,author_id,author_username,channel,channels,content,cryptocurrency_addresses,date,date_archived,date_transformed,detected_language,forwarded_from,forwards,hashtags,id,likes,media,mentions,named_entities,normalized_content,outlinks,platform,platform_id,raw_id,reply_to,scraper,transformer,url,video_duration,video_title,views,duplicates,primary
"{""channels"":{""id"":[399]}}","1445727482","AVVvaccinatieschademelden",399,"{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""}","Vorig jaar ,de broer van een vriend,36 jr ,vrouw en 2 jonge kinderen,stond op de ladder op de bouw en viel er spontaan vanaf,ter plekke overleden.Bleek een aneurysma te hebben.De avond ervoor stond ie nog op de tennisbaan.3x gvxxt.Zn booster 4dagen ervoor gehad.","[]","2023-02-26T08:02:51","2023-02-26T08:08:53.204559","2023-02-26T12:08:36.66825","nl","null",0,"[]",39107871,"null","null","[]","[{""text"":""Vorig"",""type"":""PERSON""},{""text"":""vriend,36"",""type"":""CARDINAL""},{""text"":""2"",""type"":""CARDINAL""},{""text"":""tennisbaan.3x"",""type"":""ORG""},{""text"":""4dagen"",""type"":""CARDINAL""}]","vorig jaar bro vriend,36 jr vrouw 2 jong kinder stond ladd bouw viel spontaan plek overleden bleek aneurysma avond ervoor stond i tennisbaan.3x gvxxt zn boost 4dag ervoor","[""hebben.De""]","Telegram","143699",39119766,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/AVVvaccinatieschademelden/143699","null","null",65,"[{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Vorig jaar ,de broer van een vriend,36 jr ,vrouw en 2 jonge kinderen,stond op de ladder op de bouw en viel er spontaan vanaf,ter plekke overleden.Bleek een aneurysma te hebben.De avond ervoor stond ie nog op de tennisbaan.3x gvxxt.Zn booster 4dagen ervoor gehad."",""cryptocurrency_addresses"":[],""date"":""2023-02-26T08:02:51"",""date_archived"":""2023-02-26T08:08:53.204559"",""date_transformed"":""2023-02-26T12:08:36.66825"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":0,""hashtags"":[],""id"":39107871,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Vorig"",""type"":""PERSON""},{""text"":""vriend,36"",""type"":""CARDINAL""},{""text"":""2"",""type"":""CARDINAL""},{""text"":""tennisbaan.3x"",""type"":""ORG""},{""text"":""4dagen"",""type"":""CARDINAL""}],""normalized_content"":""vorig jaar bro vriend,36 jr vrouw 2 jong kinder stond ladd bouw viel spontaan plek overleden bleek aneurysma avond ervoor stond i tennisbaan.3x gvxxt zn boost 4dag ervoor"",""outlinks"":[""hebben.De""],""platform"":""Telegram"",""platform_id"":""143699"",""raw_id"":39119766,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143699"",""video_duration"":null,""video_title"":null,""views"":65},{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Vorig jaar ,de broer van een vriend,36 jr ,vrouw en 2 jonge kinderen,stond op de ladder op de bouw en viel er spontaan vanaf,ter plekke overleden.Bleek een aneurysma te hebben.De avond ervoor stond ie nog op de tennisbaan.3x gvxxt.Zn booster 4dagen ervoor gehad."",""cryptocurrency_addresses"":[],""date"":""2023-02-26T06:40:22"",""date_archived"":""2023-02-26T08:08:53.216865"",""date_transformed"":""2023-02-26T12:07:52.442951"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39106293,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Vorig"",""type"":""PERSON""},{""text"":""vriend,36"",""type"":""CARDINAL""},{""text"":""2"",""type"":""CARDINAL""},{""text"":""tennisbaan.3x"",""type"":""ORG""},{""text"":""4dagen"",""type"":""CARDINAL""}],""normalized_content"":""vorig jaar bro vriend,36 jr vrouw 2 jong kinder stond ladd bouw viel spontaan plek overleden bleek aneurysma avond ervoor stond i tennisbaan.3x gvxxt zn boost 4dag ervoor"",""outlinks"":[""hebben.De""],""platform"":""Telegram"",""platform_id"":""143697"",""raw_id"":39119768,""reply_to"":39024827,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143697"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[399]}}","1445727482","AVVvaccinatieschademelden",399,"{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""}","Ik denk daar ook heel vaak over na. Is echt zo erg allemaal 😞","[]","2023-02-26T07:08:05","2023-02-26T08:08:53.212384","2023-02-26T12:08:04.082062","nl","null","null","[]",39106714,"null","null","[]","[{""text"":""😞"",""type"":""PERCENT""}]","denken heel echt erg allemaal 😞","[]","Telegram","143698",39119767,39104865,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/AVVvaccinatieschademelden/143698","null","null","null","[{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Ik denk daar ook heel vaak over na. Is echt zo erg allemaal 😞"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T07:08:05"",""date_archived"":""2023-02-26T08:08:53.212384"",""date_transformed"":""2023-02-26T12:08:04.082062"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39106714,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""😞"",""type"":""PERCENT""}],""normalized_content"":""denken heel echt erg allemaal 😞"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""143698"",""raw_id"":39119767,""reply_to"":39104865,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143698"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[399]}}","1445727482","AVVvaccinatieschademelden",399,"{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""}","Vorig jaar ,de broer van een vriend,36 jr ,vrouw en 2 jonge kinderen,stond op de ladder op de bouw en viel er spontaan vanaf,ter plekke overleden.Bleek een aneurysma te hebben.De avond ervoor stond ie nog op de tennisbaan.3x gvxxt.Zn booster 4dagen ervoor gehad.","[]","2023-02-26T06:40:22","2023-02-26T08:08:53.216865","2023-02-26T12:07:52.442951","nl","null","null","[]",39106293,"null","null","[]","[{""text"":""Vorig"",""type"":""PERSON""},{""text"":""vriend,36"",""type"":""CARDINAL""},{""text"":""2"",""type"":""CARDINAL""},{""text"":""tennisbaan.3x"",""type"":""ORG""},{""text"":""4dagen"",""type"":""CARDINAL""}]","vorig jaar bro vriend,36 jr vrouw 2 jong kinder stond ladd bouw viel spontaan plek overleden bleek aneurysma avond ervoor stond i tennisbaan.3x gvxxt zn boost 4dag ervoor","[""hebben.De""]","Telegram","143697",39119768,39024827,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/AVVvaccinatieschademelden/143697","null","null","null","[{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Vorig jaar ,de broer van een vriend,36 jr ,vrouw en 2 jonge kinderen,stond op de ladder op de bouw en viel er spontaan vanaf,ter plekke overleden.Bleek een aneurysma te hebben.De avond ervoor stond ie nog op de tennisbaan.3x gvxxt.Zn booster 4dagen ervoor gehad."",""cryptocurrency_addresses"":[],""date"":""2023-02-26T06:40:22"",""date_archived"":""2023-02-26T08:08:53.216865"",""date_transformed"":""2023-02-26T12:07:52.442951"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39106293,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Vorig"",""type"":""PERSON""},{""text"":""vriend,36"",""type"":""CARDINAL""},{""text"":""2"",""type"":""CARDINAL""},{""text"":""tennisbaan.3x"",""type"":""ORG""},{""text"":""4dagen"",""type"":""CARDINAL""}],""normalized_content"":""vorig jaar bro vriend,36 jr vrouw 2 jong kinder stond ladd bouw viel spontaan plek overleden bleek aneurysma avond ervoor stond i tennisbaan.3x gvxxt zn boost 4dag ervoor"",""outlinks"":[""hebben.De""],""platform"":""Telegram"",""platform_id"":""143697"",""raw_id"":39119768,""reply_to"":39024827,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143697"",""video_duration"":null,""video_title"":null,""views"":null},{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Vorig jaar ,de broer van een vriend,36 jr ,vrouw en 2 jonge kinderen,stond op de ladder op de bouw en viel er spontaan vanaf,ter plekke overleden.Bleek een aneurysma te hebben.De avond ervoor stond ie nog op de tennisbaan.3x gvxxt.Zn booster 4dagen ervoor gehad."",""cryptocurrency_addresses"":[],""date"":""2023-02-26T08:02:51"",""date_archived"":""2023-02-26T08:08:53.204559"",""date_transformed"":""2023-02-26T12:08:36.66825"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":0,""hashtags"":[],""id"":39107871,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Vorig"",""type"":""PERSON""},{""text"":""vriend,36"",""type"":""CARDINAL""},{""text"":""2"",""type"":""CARDINAL""},{""text"":""tennisbaan.3x"",""type"":""ORG""},{""text"":""4dagen"",""type"":""CARDINAL""}],""normalized_content"":""vorig jaar bro vriend,36 jr vrouw 2 jong kinder stond ladd bouw viel spontaan plek overleden bleek aneurysma avond ervoor stond i tennisbaan.3x gvxxt zn boost 4dag ervoor"",""outlinks"":[""hebben.De""],""platform"":""Telegram"",""platform_id"":""143699"",""raw_id"":39119766,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143699"",""video_duration"":null,""video_title"":null,""views"":65}]",FALSE
"{""channels"":{""id"":[399]}}","1445727482","AVVvaccinatieschademelden",399,"{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""}","Ik vrees ook dat er in bijna alle spuiten inclusief verdovingsmiddelen bij de tandarts en operaties grafeen in zit. Wat moeten we doen als we echt geen keus hebben en die prik moeten nemen ivm een operatie? Wat een wereld….","[]","2023-02-26T04:11:43","2023-02-26T08:08:53.221223","2023-02-26T12:07:14.006876","nl","null","null","[]",39104865,"null","null","[]","[]","vrees spuit inclusief verdovingsmiddel tandarts operaties grafe zit echt keus prik nem ivm operati wereld …","[]","Telegram","143696",39119769,39091478,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/AVVvaccinatieschademelden/143696","null","null","null","[{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Ik vrees ook dat er in bijna alle spuiten inclusief verdovingsmiddelen bij de tandarts en operaties grafeen in zit. Wat moeten we doen als we echt geen keus hebben en die prik moeten nemen ivm een operatie? Wat een wereld…."",""cryptocurrency_addresses"":[],""date"":""2023-02-26T04:11:43"",""date_archived"":""2023-02-26T08:08:53.221223"",""date_transformed"":""2023-02-26T12:07:14.006876"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39104865,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[],""normalized_content"":""vrees spuit inclusief verdovingsmiddel tandarts operaties grafe zit echt keus prik nem ivm operati wereld …"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""143696"",""raw_id"":39119769,""reply_to"":39091478,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143696"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[399]}}","1445727482","AVVvaccinatieschademelden",399,"{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""}","Nu nog steeds testen???
Dat doen ze toch niet meer😳","[]","2023-02-26T00:15:12","2023-02-26T08:08:53.225195","2023-02-26T12:06:17.690728","nl","null","null","[]",39102693,"null","null","[]","[]","te 
 😳","[]","Telegram","143695",39119770,39030322,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/AVVvaccinatieschademelden/143695","null","null","null","[{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Nu nog steeds testen???\nDat doen ze toch niet meer😳"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T00:15:12"",""date_archived"":""2023-02-26T08:08:53.225195"",""date_transformed"":""2023-02-26T12:06:17.690728"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39102693,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[],""normalized_content"":""te \n 😳"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""143695"",""raw_id"":39119770,""reply_to"":39030322,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143695"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[399]}}","1445727482","AVVvaccinatieschademelden",399,"{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""}","Heeft toch allemaal met vaccinaties schade te maken??? Er staat ook Chat in de naam😉
En laten we AUB niet zulke neerbuigende berichten typen.","[]","2023-02-26T00:01:09","2023-02-26T00:09:05.186937","2023-02-26T04:12:30.54418","nl","null","null","[]",39102547,"null","null","[]","[{""text"":""😉\n"",""type"":""ORG""},{""text"":""AUB"",""type"":""CARDINAL""}]","allemaal vaccinatie schad mak staat chat naam 😉 
 laat aub neerbuigend bericht typ","[]","Telegram","143694",39111863,39102191,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/AVVvaccinatieschademelden/143694","null","null","null","[{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Heeft toch allemaal met vaccinaties schade te maken??? Er staat ook Chat in de naam😉\nEn laten we AUB niet zulke neerbuigende berichten typen."",""cryptocurrency_addresses"":[],""date"":""2023-02-26T00:01:09"",""date_archived"":""2023-02-26T00:09:05.186937"",""date_transformed"":""2023-02-26T04:12:30.54418"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39102547,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""😉\n"",""type"":""ORG""},{""text"":""AUB"",""type"":""CARDINAL""}],""normalized_content"":""allemaal vaccinatie schad mak staat chat naam 😉 \n laat aub neerbuigend bericht typ"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""143694"",""raw_id"":39111863,""reply_to"":39102191,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143694"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[399]}}","1445727482","AVVvaccinatieschademelden",399,"{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""}","Hier heb ik een keer een filmpje van gezien alleen was de man naakt🙈maar maakte ook echt een duik.
Maar naar om te zien inderdaad.","[]","2023-02-25T23:58:41","2023-02-26T00:09:05.197309","2023-02-26T04:12:30.049662","nl","null","null","[]",39102524,"null","null","[]","[]","ke film gezien man naakt 🙈 maakte echt duik 
 zi inderdaad","[]","Telegram","143693",39111864,39102044,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/AVVvaccinatieschademelden/143693","null","null","null","[{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Hier heb ik een keer een filmpje van gezien alleen was de man naakt🙈maar maakte ook echt een duik.\nMaar naar om te zien inderdaad."",""cryptocurrency_addresses"":[],""date"":""2023-02-25T23:58:41"",""date_archived"":""2023-02-26T00:09:05.197309"",""date_transformed"":""2023-02-26T04:12:30.049662"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39102524,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[],""normalized_content"":""ke film gezien man naakt 🙈 maakte echt duik \n zi inderdaad"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""143693"",""raw_id"":39111864,""reply_to"":39102044,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143693"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[399]}}","1445727482","AVVvaccinatieschademelden",399,"{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""}","Laten we hier het nou eens  AUB alleen over vaccinatieschade hebben. Zoveel berichten die niks met vaccinatie schade te maken hebben, al zo vaak duidelijk gemaakt.. Maar mensen blijken het maar niet te snappen.. Kijk naar de groepsnaam en hou je gewoon aan de regels.","[]","2023-02-25T23:33:48","2023-02-26T00:09:05.202068","2023-02-26T04:12:19.296692","nl","null","null","[]",39102191,"null","null","[]","[{""text"":""Laten"",""type"":""PERSON""},{""text"":""Kijk"",""type"":""PERSON""}]","laat nou   aub vaccinatieschad bericht niks vaccinati schad mak duidelijk gemaakt .. mens blijk snapp .. kijk groepsnaam hou regels","[]","Telegram","143692",39111865,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/AVVvaccinatieschademelden/143692","null","null","null","[{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Laten we hier het nou eens  AUB alleen over vaccinatieschade hebben. Zoveel berichten die niks met vaccinatie schade te maken hebben, al zo vaak duidelijk gemaakt.. Maar mensen blijken het maar niet te snappen.. Kijk naar de groepsnaam en hou je gewoon aan de regels."",""cryptocurrency_addresses"":[],""date"":""2023-02-25T23:33:48"",""date_archived"":""2023-02-26T00:09:05.202068"",""date_transformed"":""2023-02-26T04:12:19.296692"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39102191,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Laten"",""type"":""PERSON""},{""text"":""Kijk"",""type"":""PERSON""}],""normalized_content"":""laat nou   aub vaccinatieschad bericht niks vaccinati schad mak duidelijk gemaakt .. mens blijk snapp .. kijk groepsnaam hou regels"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""143692"",""raw_id"":39111865,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143692"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[399]}}","1445727482","AVVvaccinatieschademelden",399,"{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""}","Please watch and keep sharing this is not only in the USA but WORLD WIDE

https://fb.watch/iWiAXnFXxS/","[]","2023-02-25T23:27:52","2023-02-26T00:09:05.206125","2023-02-26T04:12:17.157274","en","null","null","[]",39102092,"null","null","[]","[{""text"":""USA"",""type"":""GPE""}]","watch sharing usa world wide 

 https://fb.watch/iwiaxnfxxs/","[""https://fb.watch/iWiAXnFXxS/""]","Telegram","143691",39111866,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/AVVvaccinatieschademelden/143691","null","null","null","[{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Please watch and keep sharing this is not only in the USA but WORLD WIDE\n\nhttps://fb.watch/iWiAXnFXxS/"",""cryptocurrency_addresses"":[],""date"":""2023-02-25T23:27:52"",""date_archived"":""2023-02-26T00:09:05.206125"",""date_transformed"":""2023-02-26T04:12:17.157274"",""detected_language"":""en"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39102092,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""USA"",""type"":""GPE""}],""normalized_content"":""watch sharing usa world wide \n\n https://fb.watch/iwiaxnfxxs/"",""outlinks"":[""https://fb.watch/iWiAXnFXxS/""],""platform"":""Telegram"",""platform_id"":""143691"",""raw_id"":39111866,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143691"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[399]}}","1445727482","AVVvaccinatieschademelden",399,"{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""}","Vandaag een bizar ongeval gezien en 112 moeten bellen voor een ambulance. Wij zagen vanuit de auto voor ons een oudere man op afstand heel raar rennend oversteken en een snoekduik op de stenen maken. Alsof hij niet helemaal normaal was. Zijn benen lagen op de weg waardoor wij stopten. Hij bleef zo liggen. Na aanspreken reageerde hij niet gelijk. Dus ambulance laten komen. Hij ging van de stabiele zijligging op zijn buik liggen en had een bebloed gezicht. Weer in de stabiele zijligging geprobeerd te leggen en toen kwam hij weer een beetje bij en zei te zijn gestruikeld bij het hardlopen. Wij dachten dat hij ineens last van zijn hart of hersenen kreeg en ze hebben hem meegenomen. Ik heb het niet gevraagd, maar hoeveel prikken zal hij wel niet gehad hebben? 4 of 5 in het slechtste geval. Zoiets heb ik nog nooit gezien. Heb wel een vader met ernstige vax schade.","[]","2023-02-25T23:24:11","2023-02-26T00:09:05.210297","2023-02-26T04:12:15.957286","nl","null","null","[]",39102044,"null","null","[]","[{""text"":""112"",""type"":""CARDINAL""},{""text"":""Alsof"",""type"":""PERSON""},{""text"":""4"",""type"":""CARDINAL""},{""text"":""5"",""type"":""CARDINAL""}]","vandaag bizar ongeval gezien 112 bell ambulanc zag auto oud man afstand heel raar rennen overstek snoekduik stenen mak alsof helemaal normaal benen lagen waardoor stoppen blijven ligg aansprek reageren ambulanc laat kom gaan stabiel zijligging buik ligg bebloed gezicht stabiel zijligging proberen legg kwam beetj struikelen hardlop denken ineens la hart hersen krijgen meenemen gevraagd hoeveel prikk 4 5 slecht geval zoiets gezien vad ernstig vax schad","[]","Telegram","143690",39111867,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/AVVvaccinatieschademelden/143690","null","null","null","[{""_meta"":{""channels"":{""id"":[399]}},""author_id"":""1445727482"",""author_username"":""AVVvaccinatieschademelden"",""channel"":399,""channels"":{""category"":""corona/anti-vax"",""country"":[""NL""],""source"":""researcher""},""content"":""Vandaag een bizar ongeval gezien en 112 moeten bellen voor een ambulance. Wij zagen vanuit de auto voor ons een oudere man op afstand heel raar rennend oversteken en een snoekduik op de stenen maken. Alsof hij niet helemaal normaal was. Zijn benen lagen op de weg waardoor wij stopten. Hij bleef zo liggen. Na aanspreken reageerde hij niet gelijk. Dus ambulance laten komen. Hij ging van de stabiele zijligging op zijn buik liggen en had een bebloed gezicht. Weer in de stabiele zijligging geprobeerd te leggen en toen kwam hij weer een beetje bij en zei te zijn gestruikeld bij het hardlopen. Wij dachten dat hij ineens last van zijn hart of hersenen kreeg en ze hebben hem meegenomen. Ik heb het niet gevraagd, maar hoeveel prikken zal hij wel niet gehad hebben? 4 of 5 in het slechtste geval. Zoiets heb ik nog nooit gezien. Heb wel een vader met ernstige vax schade."",""cryptocurrency_addresses"":[],""date"":""2023-02-25T23:24:11"",""date_archived"":""2023-02-26T00:09:05.210297"",""date_transformed"":""2023-02-26T04:12:15.957286"",""detected_language"":""nl"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39102044,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""112"",""type"":""CARDINAL""},{""text"":""Alsof"",""type"":""PERSON""},{""text"":""4"",""type"":""CARDINAL""},{""text"":""5"",""type"":""CARDINAL""}],""normalized_content"":""vandaag bizar ongeval gezien 112 bell ambulanc zag auto oud man afstand heel raar rennen overstek snoekduik stenen mak alsof helemaal normaal benen lagen waardoor stoppen blijven ligg aansprek reageren ambulanc laat kom gaan stabiel zijligging buik ligg bebloed gezicht stabiel zijligging proberen legg kwam beetj struikelen hardlop denken ineens la hart hersen krijgen meenemen gevraagd hoeveel prikk 4 5 slecht geval zoiets gezien vad ernstig vax schad"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""143690"",""raw_id"":39111867,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/AVVvaccinatieschademelden/143690"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
