_meta,author_id,author_username,channel,channels,content,cryptocurrency_addresses,date,date_archived,date_transformed,detected_language,forwarded_from,forwards,hashtags,id,likes,media,mentions,named_entities,normalized_content,outlinks,platform,platform_id,raw_id,reply_to,scraper,transformer,url,video_duration,video_title,views,duplicates,primary
"{""channels"":{""id"":[56]}}","1586239095","absurdnisvet",56,"{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""}","K tomu videu👆👆👆na konci rika: "" Videl jsem jak nemecky vojak vyrval stare ukrajinske zidovce vnoucka z naruce a probodl ho bajonetem...Tohle admin nemeckeho kanalu neprelozil a tak jsem mu napsala komentar, ze jsou lide, kteri rusky mluvi a rozumi a presny preklade toho co ten pan rika a ze taky ze prelozil jen to co se mu hodi, ale ze i nemecti vojaci pachali svinsva to ne. Okamzite muj komentar smazal a zablokoval me. 😁","[]","2023-02-26T07:56:21","2023-02-26T08:08:23.256163","2023-02-26T12:08:30.43737","cs","null",1,"[]",39107707,"null","null","[]","[{""text"":""Tohle"",""type"":""LOC""}]","","[]","Telegram","44415",39119479,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/absurdnisvet/44415","null","null",397,"[{""_meta"":{""channels"":{""id"":[56]}},""author_id"":""1586239095"",""author_username"":""absurdnisvet"",""channel"":56,""channels"":{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""},""content"":""K tomu videu👆👆👆na konci rika: \"" Videl jsem jak nemecky vojak vyrval stare ukrajinske zidovce vnoucka z naruce a probodl ho bajonetem...Tohle admin nemeckeho kanalu neprelozil a tak jsem mu napsala komentar, ze jsou lide, kteri rusky mluvi a rozumi a presny preklade toho co ten pan rika a ze taky ze prelozil jen to co se mu hodi, ale ze i nemecti vojaci pachali svinsva to ne. Okamzite muj komentar smazal a zablokoval me. 😁"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T07:56:21"",""date_archived"":""2023-02-26T08:08:23.256163"",""date_transformed"":""2023-02-26T12:08:30.43737"",""detected_language"":""cs"",""forwarded_from"":null,""forwards"":1,""hashtags"":[],""id"":39107707,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Tohle"",""type"":""LOC""}],""normalized_content"":"""",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""44415"",""raw_id"":39119479,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/absurdnisvet/44415"",""video_duration"":null,""video_title"":null,""views"":397}]",TRUE
"{""channels"":{""id"":[56]}}","1586239095","absurdnisvet",56,"{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""}","Přeživší masakru Babi Yar z 29. až 30. září 1941 v Kyjevě, kde bylo zavražděno 33 771 Židů:

  „Všichni Židé by se měli shromáždit na židovském hřbitově. Vedli nás tam ukrajinští nacionalisté a Němci. bastardi!""","[]","2023-02-26T07:31:49","2023-02-26T08:08:23.263539","2023-02-26T12:08:14.762037","cs","null",8,"[]",39107197,"null","null","[]","[{""text"":""Babi Yar"",""type"":""LOC""},{""text"":""Němci. bastardi!"",""type"":""PER""}]","","[]","Telegram","44414",39119480,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/absurdnisvet/44414","null","null",893,"[{""_meta"":{""channels"":{""id"":[56]}},""author_id"":""1586239095"",""author_username"":""absurdnisvet"",""channel"":56,""channels"":{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""},""content"":""Přeživší masakru Babi Yar z 29. až 30. září 1941 v Kyjevě, kde bylo zavražděno 33 771 Židů:\n\n  „Všichni Židé by se měli shromáždit na židovském hřbitově. Vedli nás tam ukrajinští nacionalisté a Němci. bastardi!\"""",""cryptocurrency_addresses"":[],""date"":""2023-02-26T07:31:49"",""date_archived"":""2023-02-26T08:08:23.263539"",""date_transformed"":""2023-02-26T12:08:14.762037"",""detected_language"":""cs"",""forwarded_from"":null,""forwards"":8,""hashtags"":[],""id"":39107197,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Babi Yar"",""type"":""LOC""},{""text"":""Němci. bastardi!"",""type"":""PER""}],""normalized_content"":"""",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""44414"",""raw_id"":39119480,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/absurdnisvet/44414"",""video_duration"":null,""video_title"":null,""views"":893}]",TRUE
"{""channels"":{""id"":[56]}}","1586239095","absurdnisvet",56,"{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""}","Jak se tvoří 3 slunce?

Corona slouží ke zpochybnění všeho od masky po naši historii a tvar Země","[]","2023-02-26T07:24:48","2023-02-26T08:08:23.267585","2023-02-26T12:08:10.979887","cs","null",7,"[]",39107024,"null","null","[]","[{""text"":""Corona"",""type"":""PER""},{""text"":""masky"",""type"":""PER""},{""text"":""Země"",""type"":""MISC""}]","","[]","Telegram","44413",39119481,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/absurdnisvet/44413","null","null",1016,"[{""_meta"":{""channels"":{""id"":[56]}},""author_id"":""1586239095"",""author_username"":""absurdnisvet"",""channel"":56,""channels"":{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""},""content"":""Jak se tvoří 3 slunce?\n\nCorona slouží ke zpochybnění všeho od masky po naši historii a tvar Země"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T07:24:48"",""date_archived"":""2023-02-26T08:08:23.267585"",""date_transformed"":""2023-02-26T12:08:10.979887"",""detected_language"":""cs"",""forwarded_from"":null,""forwards"":7,""hashtags"":[],""id"":39107024,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Corona"",""type"":""PER""},{""text"":""masky"",""type"":""PER""},{""text"":""Země"",""type"":""MISC""}],""normalized_content"":"""",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""44413"",""raw_id"":39119481,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/absurdnisvet/44413"",""video_duration"":null,""video_title"":null,""views"":1016}]",TRUE
"{""channels"":{""id"":[56]}}","1586239095","absurdnisvet",56,"{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""}","","[]","2023-02-26T07:20:55","2023-02-26T08:08:23.271686","2023-02-26T12:08:09.374669","","null",1,"[]",39106972,"null","null","[]","[]","","[]","Telegram","44412",39119482,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/absurdnisvet/44412","null","null",1045,"[]",TRUE
"{""channels"":{""id"":[56]}}","1586239095","absurdnisvet",56,"{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""}","","[]","2023-02-26T07:20:50","2023-02-26T08:08:23.275693","2023-02-26T12:08:09.29714","","null",1,"[]",39106965,"null","null","[]","[]","","[]","Telegram","44411",39119483,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/absurdnisvet/44411","null","null",1014,"[]",TRUE
"{""channels"":{""id"":[56]}}","1586239095","absurdnisvet",56,"{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""}","👍❤️❤️❤️","[]","2023-02-26T07:20:43","2023-02-26T08:08:23.279542","2023-02-26T12:08:09.234013","","null",0,"[]",39106963,"null","null","[]","[]","","[]","Telegram","44410",39119484,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/absurdnisvet/44410","null","null",1014,"[{""_meta"":{""channels"":{""id"":[56]}},""author_id"":""1586239095"",""author_username"":""absurdnisvet"",""channel"":56,""channels"":{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""},""content"":""👍❤️❤️❤️"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T07:20:43"",""date_archived"":""2023-02-26T08:08:23.279542"",""date_transformed"":""2023-02-26T12:08:09.234013"",""detected_language"":"""",""forwarded_from"":null,""forwards"":0,""hashtags"":[],""id"":39106963,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[],""normalized_content"":"""",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""44410"",""raw_id"":39119484,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/absurdnisvet/44410"",""video_duration"":null,""video_title"":null,""views"":1014}]",TRUE
"{""channels"":{""id"":[56]}}","1586239095","absurdnisvet",56,"{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""}","🚨🚨🚨Paní Korupce‼️

Von der Leyen další ""skvělý kousek""


🇪🇺
Nabídka společnosti Pfizer na nákup zbraní.
⤵️
Von der Leyen to oznámila na mnichovské (ne)bezpečnostní konferenci.

Šéfka komise von der Leyen byla kritizována za nákupy vakcín od americké společnosti Pfizer. Státy EU dokonce chtějí smlouvy znovu projednat.

VDL to ale nezpochybňuje: nyní chce také nakupovat zbraně a střelivo pro Ukrajinu – v souladu s dohodou Pfizer.
http://opr.news/16704804230223de_de?link=1&client=newseu","[]","2023-02-26T07:16:39","2023-02-26T08:08:23.283972","2023-02-26T12:08:07.555301","cs","null",7,"[]",39106877,"null","null","[]","[{""text"":""🚨🚨🚨Paní"",""type"":""PER""},{""text"":""Pfizer"",""type"":""ORG""},{""text"":""Leyen"",""type"":""LOC""},{""text"":""Pfizer"",""type"":""ORG""},{""text"":""EU"",""type"":""ORG""},{""text"":""VDL"",""type"":""ORG""},{""text"":""Ukrajinu –"",""type"":""MISC""},{""text"":""Pfizer.\nhttp://opr.news/16704804230223de_de?link=1&client=newseu"",""type"":""PER""}]","","[""http://opr.news/16704804230223de_de?link=1&client=newseu""]","Telegram","44409",39119485,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/absurdnisvet/44409","null","null",1079,"[{""_meta"":{""channels"":{""id"":[56]}},""author_id"":""1586239095"",""author_username"":""absurdnisvet"",""channel"":56,""channels"":{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""},""content"":""🚨🚨🚨Paní Korupce‼️\n\nVon der Leyen další \""skvělý kousek\""\n\n\n🇪🇺\nNabídka společnosti Pfizer na nákup zbraní.\n⤵️\nVon der Leyen to oznámila na mnichovské (ne)bezpečnostní konferenci.\n\nŠéfka komise von der Leyen byla kritizována za nákupy vakcín od americké společnosti Pfizer. Státy EU dokonce chtějí smlouvy znovu projednat.\n\nVDL to ale nezpochybňuje: nyní chce také nakupovat zbraně a střelivo pro Ukrajinu – v souladu s dohodou Pfizer.\nhttp://opr.news/16704804230223de_de?link=1&client=newseu"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T07:16:39"",""date_archived"":""2023-02-26T08:08:23.283972"",""date_transformed"":""2023-02-26T12:08:07.555301"",""detected_language"":""cs"",""forwarded_from"":null,""forwards"":7,""hashtags"":[],""id"":39106877,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""🚨🚨🚨Paní"",""type"":""PER""},{""text"":""Pfizer"",""type"":""ORG""},{""text"":""Leyen"",""type"":""LOC""},{""text"":""Pfizer"",""type"":""ORG""},{""text"":""EU"",""type"":""ORG""},{""text"":""VDL"",""type"":""ORG""},{""text"":""Ukrajinu –"",""type"":""MISC""},{""text"":""Pfizer.\nhttp://opr.news/16704804230223de_de?link=1&client=newseu"",""type"":""PER""}],""normalized_content"":"""",""outlinks"":[""http://opr.news/16704804230223de_de?link=1&client=newseu""],""platform"":""Telegram"",""platform_id"":""44409"",""raw_id"":39119485,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/absurdnisvet/44409"",""video_duration"":null,""video_title"":null,""views"":1079}]",TRUE
"{""channels"":{""id"":[56]}}","1586239095","absurdnisvet",56,"{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""}","Polsko blokuje nové sankce proti Rusku, údajně proto, že jsou příliš laxní. Ostatní členské země to považují za přetvářku – Varšava chce na situaci finančně vydělat.

Během vyjednávání o desátém balíčku unijních sankcí vůči Rusku se mezi Polskem a dalšími 26 členskými státy strhla ostrá hádka.","[]","2023-02-26T07:12:51","2023-02-26T08:08:23.287952","2023-02-26T12:08:05.909432","cs","null",3,"[]",39106804,"null","null","[]","[{""text"":""Polsko"",""type"":""LOC""},{""text"":""Rusku"",""type"":""LOC""},{""text"":""–"",""type"":""MISC""},{""text"":""Během"",""type"":""LOC""},{""text"":""Rusku"",""type"":""LOC""},{""text"":""Polskem"",""type"":""LOC""},{""text"":""strhla"",""type"":""PER""}]","","[]","Telegram","44408",39119486,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/absurdnisvet/44408","null","null",1138,"[{""_meta"":{""channels"":{""id"":[56]}},""author_id"":""1586239095"",""author_username"":""absurdnisvet"",""channel"":56,""channels"":{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""},""content"":""Polsko blokuje nové sankce proti Rusku, údajně proto, že jsou příliš laxní. Ostatní členské země to považují za přetvářku – Varšava chce na situaci finančně vydělat.\n\nBěhem vyjednávání o desátém balíčku unijních sankcí vůči Rusku se mezi Polskem a dalšími 26 členskými státy strhla ostrá hádka."",""cryptocurrency_addresses"":[],""date"":""2023-02-26T07:12:51"",""date_archived"":""2023-02-26T08:08:23.287952"",""date_transformed"":""2023-02-26T12:08:05.909432"",""detected_language"":""cs"",""forwarded_from"":null,""forwards"":3,""hashtags"":[],""id"":39106804,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Polsko"",""type"":""LOC""},{""text"":""Rusku"",""type"":""LOC""},{""text"":""–"",""type"":""MISC""},{""text"":""Během"",""type"":""LOC""},{""text"":""Rusku"",""type"":""LOC""},{""text"":""Polskem"",""type"":""LOC""},{""text"":""strhla"",""type"":""PER""}],""normalized_content"":"""",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""44408"",""raw_id"":39119486,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/absurdnisvet/44408"",""video_duration"":null,""video_title"":null,""views"":1138}]",TRUE
"{""channels"":{""id"":[56]}}","1586239095","absurdnisvet",56,"{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""}","🇮🇱 V Tel Avivu demonstrují židovští občané proti banderovským nacistům, kteří mají na Ukrajině bojují proti Putinovým jednotkám.

Bandera vraždil Židy během druhé světové války. Pro dnešní ukrajinské nacionalisty je Bandera hrdina. I to ukazuje, KDO doopravdy je dnešní Evropská unie.","[]","2023-02-26T07:12:04","2023-02-26T08:08:23.291582","2023-02-26T12:08:05.673123","cs","null",10,"[]",39106796,"null","null","[]","[{""text"":""Ukrajině bojují"",""type"":""ORG""},{""text"":""Putinovým"",""type"":""LOC""},{""text"":""Bandera"",""type"":""PER""},{""text"":""KDO"",""type"":""MISC""},{""text"":""Evropská"",""type"":""LOC""}]","","[]","Telegram","44407",39119487,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/absurdnisvet/44407","null","null",1139,"[{""_meta"":{""channels"":{""id"":[56]}},""author_id"":""1586239095"",""author_username"":""absurdnisvet"",""channel"":56,""channels"":{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""},""content"":""🇮🇱 V Tel Avivu demonstrují židovští občané proti banderovským nacistům, kteří mají na Ukrajině bojují proti Putinovým jednotkám.\n\nBandera vraždil Židy během druhé světové války. Pro dnešní ukrajinské nacionalisty je Bandera hrdina. I to ukazuje, KDO doopravdy je dnešní Evropská unie."",""cryptocurrency_addresses"":[],""date"":""2023-02-26T07:12:04"",""date_archived"":""2023-02-26T08:08:23.291582"",""date_transformed"":""2023-02-26T12:08:05.673123"",""detected_language"":""cs"",""forwarded_from"":null,""forwards"":10,""hashtags"":[],""id"":39106796,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Ukrajině bojují"",""type"":""ORG""},{""text"":""Putinovým"",""type"":""LOC""},{""text"":""Bandera"",""type"":""PER""},{""text"":""KDO"",""type"":""MISC""},{""text"":""Evropská"",""type"":""LOC""}],""normalized_content"":"""",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""44407"",""raw_id"":39119487,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/absurdnisvet/44407"",""video_duration"":null,""video_title"":null,""views"":1139}]",TRUE
"{""channels"":{""id"":[56]}}","1586239095","absurdnisvet",56,"{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""}","Generální tajemník NATO v komentáři k čínskému mírovému plánu řekl, že „Číně se moc nedůvěřuje“.🤭😆

🇪🇺 EU uvedla, že prověří čínský navrhovaný dokument o urovnání Ukrajiny, ale „s ohledem na  přátelství Číny s Ruskou federací“.🤦🤡👻🔥","[]","2023-02-26T07:10:52","2023-02-26T08:08:23.295455","2023-02-26T12:08:04.846196","cs","null",3,"[]",39106760,"null","null","[]","[{""text"":""Generální"",""type"":""PER""},{""text"":""NATO"",""type"":""ORG""},{""text"":""Číně"",""type"":""PER""},{""text"":""EU"",""type"":""ORG""},{""text"":""Číny"",""type"":""PER""},{""text"":""Ruskou"",""type"":""LOC""}]","","[]","Telegram","44406",39119488,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/absurdnisvet/44406","null","null",1138,"[{""_meta"":{""channels"":{""id"":[56]}},""author_id"":""1586239095"",""author_username"":""absurdnisvet"",""channel"":56,""channels"":{""category"":""conspiracy"",""country"":[""CZ"",""SK""],""source"":""researcher""},""content"":""Generální tajemník NATO v komentáři k čínskému mírovému plánu řekl, že „Číně se moc nedůvěřuje“.🤭😆\n\n🇪🇺 EU uvedla, že prověří čínský navrhovaný dokument o urovnání Ukrajiny, ale „s ohledem na  přátelství Číny s Ruskou federací“.🤦🤡👻🔥"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T07:10:52"",""date_archived"":""2023-02-26T08:08:23.295455"",""date_transformed"":""2023-02-26T12:08:04.846196"",""detected_language"":""cs"",""forwarded_from"":null,""forwards"":3,""hashtags"":[],""id"":39106760,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Generální"",""type"":""PER""},{""text"":""NATO"",""type"":""ORG""},{""text"":""Číně"",""type"":""PER""},{""text"":""EU"",""type"":""ORG""},{""text"":""Číny"",""type"":""PER""},{""text"":""Ruskou"",""type"":""LOC""}],""normalized_content"":"""",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""44406"",""raw_id"":39119488,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/absurdnisvet/44406"",""video_duration"":null,""video_title"":null,""views"":1138}]",TRUE
