content,category
The Ukrainian president says the country will not forgive or forget those who murder its civilians.,real_news
"Jeremy Bowen was on the frontline in Irpin, as residents came under Russian fire while trying to flee.",real_news
One of the world's biggest fertiliser firms says the conflict could deliver a shock to food supplies.,real_news
The parents of the Manchester Arena bombing's youngest victim speak about their life since she died.,real_news
Consumers are feeling the impact of higher energy costs as fuel prices and household bills jump.,real_news
"Boris Johnson is to meet the Canadian and Dutch PMs, as MPs debate new laws targeting oligarchs.",real_news
"The home secretary says she is ""surging capacity"" as about 1% of 5,500 applications are granted.",real_news
"TikTok suspends live streaming and new content from its platform, while Russians can no longer access Netflix.",real_news
Five things you need to know about the coronavirus pandemic this Monday morning.,real_news
"People have been held in 53 cities, from St Petersburg in the west to Vladivostok in the east.",real_news
More than 1.5 million Ukrainians have fled the country. Here's what you need to know after day 11 of the war.,real_news
Russian gymnast Ivan Kuliak is being investigated after wearing a national war symbol on his leotard as he stood next to a Ukrainian rival on the podium in Qatar on Saturday.,real_news
"A Polish couple, messaged from Taiwan, have come to meet a Ukrainian refugee - welcome to Przemysl.",real_news
"Ukraine's youngest cabinet minister, 31-year-old Mykhailo Fedorov, is leading a cyber-battle against Russia.",real_news
"Within hours of Russia’s invasion, all over Ukraine, volunteers offered their services.",real_news
Several US presidents have failed to get the measure of him but now Europe has joined the fray things may change.,real_news
"Maxim, a 27-year-old city resident, tells the BBC what happened after the first ceasefire collapsed.",real_news
Conspiracy theories and trolls are adding to the chaos of war.,real_news
"A ceasefire agreement in the southern city of Mariupol, breaks down a second time, with both sides blaming each other.",real_news
Prices for everyday items could go up at a time when the cost of living is already rising.,real_news
"In Ukraine, families are having to adapt to being at war. But what do you tell the children?",real_news
"The video, shared by Ukrainian armed forces, shows the helicopter being hit by a missile.",real_news
"The shifting of European history's tectonic plates is not really that unexpected, explains Kevin Connolly.",real_news
Russia is being hit by a global backlash after it invaded Ukraine. How does it feel to be shunned?,real_news
These Ukrainians say their Russian relatives only trust the narratives they see on TV at home.,real_news
"After Russia seizes two nuclear plant sites, experts weigh the risk to Ukraine and the world at large.",real_news
There are both strategic and historical reasons why the offensive in southern Ukraine is vital for Russia.,real_news
Civilian attempts to flee Ukrainian cities being targeted by Russian forces lead Monday's papers.,real_news
"Lesya and Valeri, both civil defence volunteers, tied the knot at a checkpoint near Kyiv.",real_news
The NGO Herosi are trying to find places for the patients in medical care across Europe.,real_news
A mother whose son died from heart disease urges parents to know the signs and trust their instincts.,real_news
Lynette Lee survived the Zeebrugge ferry disaster 35 years ago - one that killed 193 people.,real_news
A student at Queen's University Belfast used his daily walks to record the sounds of Covid lockdowns.,real_news
The parents of five-year-old Isla say she is the only child in the world with a rare condition.,real_news
The moment a man swims out of the path of a container ship off Southampton is captured on a phone.,real_news
Correspondents and experts answer questions from readers on the BBC News website,real_news
