real,title
1,Expanding Opportunity — #KempForum16 – Paul Ryan – Medium
1,Property Brothers' Jonathan Scott Reveals Why He's Not on Dancing with the Stars with Drew
1,The Challenge's Ammo Reveals He Was Raped By a Former Partner
1,Eva Longoria is heartbroken as her beloved dog Jinxy passes away in her arms after a stroke
1,Miley Cyrus and Liam Hemsworth Have Date Night at Elton John's Final Vegas Concert
1,WWE Touts Success Of Bella Twins’ YouTube Channel
1,Margot Robbie Had a Hilariously Embarrassing Encounter with Obama on Her Honeymoon
1,Kate Winslet Reveals Whether She&#39;ll Work With Leonardo DiCaprio Again
1,The New York City Townhouse Julianne Moore Calls Home
1,John Stamos Adorably Kisses Caitlin McHugh's Baby Bump on 2018 SAG Awards Red Carpet: Pic!
1,Issa Rae to Host 2018 CFDA Awards
1,Donald Glover Compares Himself To The “Modern Day Tupac”
1,Tinsley Mortimer
1,Below Deck's boat sinks in the Caribbean while filming
1,Halsey and G-Eazy’s Cutest Moments as a Couple (PHOTOS)
1,The Bachelorette's Rachel Lindsay shows off svelte waist
1,Nikki Bella Struggles to Get Into the Bachelorette Spirit on Total Bellas: ''I'm Too Old for All That''
1,Justin Timberlake Wears Stella McCartney at Super Bowl Halftime Show
1,"Aaron Carter arrested for DUI, possession 3 weeks after Syracuse 'health issues'"
1,Brooke Burke Files for Divorce from Husband David Charvet After 6 Years of Marriage
1,Tonya Harding
1,Carrie Fisher Once Sent a Cow's Tongue to a Producer Who Allegedly Assaulted Her Friend
1,Prince Charles demanded the Queen get rid of her favourite courtier
1,Janelle Monáe Frees Herself
1,"Sofia Vergara reveals her Instagram was hacked, warns fans not to fall for scam"
1,Mary-Kate Olsen bonds with boyfriend Olivier Sarkozy's young daughter during shopping trip
1,The best Black Friday and Cyber Monday deals: 100 things still on sale today
1,10 things you never knew about Victoria’s Secret Angel Sara Sampaio
1,"Zoe Saldana's $8 go-to for dry, chapped winter lips"
1,Nacho Fries
1,Bristol Palin and Estranged Husband Dakota Meyer Celebrate Easter Together After Split
1,Kevin Hart Refuses to Let Tiffany Haddish Pay Back $300 Life-Changing Loan
1,LaLa Anthony Says She's Not Divorcing Carmelo Anthony
1,Did Kanye West Have Any Influence On Kim Kardashian’s New Makeup Line? She What She Has To Say About It!
1,Why Nikki Bella Hid Her First Marriage from John Cena — and How He Reacted When He Found Out
1,Tristan Thompson
1,Gayle King ‘winced’ at Stephen Colbert’s Charlie Rose jokes but sat for an interview anyway
1,Nicole Richie & Beauty Vlogger NikkieTutorials Swap Makeup Tricks
1,Teen Mom: Catelynn Baltierra Unleashes Divorce Fears
1,Grab a golden shovel and dig through part 5 of Twin Peaks
1,Kylie Jenner reveals her baby daughter's name is Stormi
1,Birthday Suit! Celebrate Kim Kardashian's 37th B-Day With Her Sexiest Naked Pics
1,15 TV shows that were canceled because of controversies
1,Taylor Swift's Stalker Sentenced to 10-Year Probation and GPS Monitoring
1,Kate Spade Dead at 55: Stars React to Fashion Designer’s Death
1,Emily Blunt Recalls Crying the Whole Way Home After Getting Meryl Streep's Stamp of Approval
1,Watch Out King Robert! A Coup Is Underway on The Royals and the King Is on the Chopping Block
1,Why Tracee Ellis Ross Kept Her Distance From SZA at the Met Gala
1,Jay-Z Stops Concert to Meet Two-Time Cancer Survivor: Pics!
1,"‘All men must die, but we are not men’ – Game of Thrones (S06E03)"
1,Katie Holmes enjoys an economical ride on the New York City subway
1,Demi Lovato no longer cares what the haters say about her swimsuit Instagrams
1,Brooklyn Nine-Nine saved by NBC: 2018’s TV cancellations and renewals
1,'Bachelor' Ben Higgins' Advice for How Arie Luyendyk Jr. Should Handle His Messy Ending (Exclusive)
1,Why Hoda Kotb Isn’t Making Matt Lauer’s Salary – Variety
1,Taylor Swift Reveals Her “Worst Nightmare”
1,‘Bright’ Director David Ayer Had an Unexpected Reaction to a Bad Review
1,"Sterling K. Brown’s Golden Globes Speech Was So, So Moving — Just Like Everything Else He Does"
1,Alignment Test
