_meta,author_id,author_username,channel,channels,content,cryptocurrency_addresses,date,date_archived,date_transformed,detected_language,forwarded_from,forwards,hashtags,id,likes,media,mentions,named_entities,normalized_content,outlinks,platform,platform_id,raw_id,reply_to,scraper,transformer,url,video_duration,video_title,views,duplicates,primary
"{""channels"":{""id"":[37]}}","1204327607","null",37,"{""category"":""qanon"",""country"":[""US""],""source"":""researcher""}","I hate POTUS B-BIDEN myself but let's see how can FMR DJT prove that he will get us this hell we in?","[]","2023-02-26T08:06:29","2023-02-26T08:07:09.547276","2023-02-26T12:08:38.320999","en","null","null","[]",39107949,"null","null","[]","[{""text"":""FMR DJT"",""type"":""PERSON""}]","hate potus b - biden let fmr djt prove hell","[]","Telegram","262191",39119056,38987005,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/timetravel211/262191","null","null","null","[{""_meta"":{""channels"":{""id"":[37]}},""author_id"":""1204327607"",""author_username"":null,""channel"":37,""channels"":{""category"":""qanon"",""country"":[""US""],""source"":""researcher""},""content"":""I hate POTUS B-BIDEN myself but let's see how can FMR DJT prove that he will get us this hell we in?"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T08:06:29"",""date_archived"":""2023-02-26T08:07:09.547276"",""date_transformed"":""2023-02-26T12:08:38.320999"",""detected_language"":""en"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39107949,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""FMR DJT"",""type"":""PERSON""}],""normalized_content"":""hate potus b - biden let fmr djt prove hell"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""262191"",""raw_id"":39119056,""reply_to"":38987005,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/timetravel211/262191"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[37]}}","1204327607","null",37,"{""category"":""qanon"",""country"":[""US""],""source"":""researcher""}","What don't u get ? We have one POTUS at a time hell I hate POTUS B-BIDEN but he's the POTUS","[]","2023-02-26T08:03:56","2023-02-26T08:07:09.555037","2023-02-26T12:08:37.506441","en","null","null","[]",39107906,"null","null","[]","[{""text"":""one"",""type"":""CARDINAL""}]","u potus time hell hate potus b - biden potus","[]","Telegram","262190",39119057,38986535,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/timetravel211/262190","null","null","null","[{""_meta"":{""channels"":{""id"":[37]}},""author_id"":""1204327607"",""author_username"":null,""channel"":37,""channels"":{""category"":""qanon"",""country"":[""US""],""source"":""researcher""},""content"":""What don't u get ? We have one POTUS at a time hell I hate POTUS B-BIDEN but he's the POTUS"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T08:03:56"",""date_archived"":""2023-02-26T08:07:09.555037"",""date_transformed"":""2023-02-26T12:08:37.506441"",""detected_language"":""en"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39107906,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""one"",""type"":""CARDINAL""}],""normalized_content"":""u potus time hell hate potus b - biden potus"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""262190"",""raw_id"":39119057,""reply_to"":38986535,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/timetravel211/262190"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[37]}}","1204327607","null",37,"{""category"":""qanon"",""country"":[""US""],""source"":""researcher""}","Na we need to get rid of all of them bitches including ones that crave power fuck this government let's take it down who's got the balls to do it?","[]","2023-02-26T08:02:37","2023-02-26T08:07:09.559171","2023-02-26T12:08:36.521455","en","null","null","[]",39107865,"null","null","[]","[]","na need rid bitches including ones crave power fuck government let got balls","[]","Telegram","262189",39119058,38984063,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/timetravel211/262189","null","null","null","[{""_meta"":{""channels"":{""id"":[37]}},""author_id"":""1204327607"",""author_username"":null,""channel"":37,""channels"":{""category"":""qanon"",""country"":[""US""],""source"":""researcher""},""content"":""Na we need to get rid of all of them bitches including ones that crave power fuck this government let's take it down who's got the balls to do it?"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T08:02:37"",""date_archived"":""2023-02-26T08:07:09.559171"",""date_transformed"":""2023-02-26T12:08:36.521455"",""detected_language"":""en"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39107865,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[],""normalized_content"":""na need rid bitches including ones crave power fuck government let got balls"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""262189"",""raw_id"":39119058,""reply_to"":38984063,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/timetravel211/262189"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[37]}}","1204327607","null",37,"{""category"":""qanon"",""country"":[""US""],""source"":""researcher""}","I'm hanging with God, he's not crazy...","[]","2023-02-26T04:59:42","2023-02-26T08:07:09.563425","2023-02-26T12:07:25.396646","en","null","null","[]",39105330,"null","null","[]","[]","hanging god crazy ...","[]","Telegram","262188",39119059,39105267,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/timetravel211/262188","null","null","null","[{""_meta"":{""channels"":{""id"":[37]}},""author_id"":""1204327607"",""author_username"":null,""channel"":37,""channels"":{""category"":""qanon"",""country"":[""US""],""source"":""researcher""},""content"":""I'm hanging with God, he's not crazy..."",""cryptocurrency_addresses"":[],""date"":""2023-02-26T04:59:42"",""date_archived"":""2023-02-26T08:07:09.563425"",""date_transformed"":""2023-02-26T12:07:25.396646"",""detected_language"":""en"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39105330,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[],""normalized_content"":""hanging god crazy ..."",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""262188"",""raw_id"":39119059,""reply_to"":39105267,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/timetravel211/262188"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[37]}}","1204327607","null",37,"{""category"":""qanon"",""country"":[""US""],""source"":""researcher""}","","[]","2023-02-26T04:48:01","2023-02-26T08:07:09.568118","2023-02-26T12:07:23.631014","",5139,0,"[]",39105267,"null","null","[]","[]","","[]","Telegram","262187",39119060,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/timetravel211/262187","null","null",133,"[]",TRUE
"{""channels"":{""id"":[37]}}","1204327607","null",37,"{""category"":""qanon"",""country"":[""US""],""source"":""researcher""}","🇪🇸Spain Detects First Suspected Case of Marburg Disease","[]","2023-02-26T04:17:11","2023-02-26T08:07:09.572458","2023-02-26T12:07:18.088592","en",6441,16,"[]",39105007,"null","null","[]","[{""text"":""🇪"",""type"":""ORG""},{""text"":""🇸"",""type"":""PRODUCT""},{""text"":""Spain"",""type"":""GPE""},{""text"":""First"",""type"":""ORDINAL""}]","🇪 🇸 spain detects suspected case marburg disease","[]","Telegram","262186",39119061,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/timetravel211/262186","null","null",769,"[{""_meta"":{""channels"":{""id"":[37]}},""author_id"":""1204327607"",""author_username"":null,""channel"":37,""channels"":{""category"":""qanon"",""country"":[""US""],""source"":""researcher""},""content"":""🇪🇸Spain Detects First Suspected Case of Marburg Disease"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T04:17:11"",""date_archived"":""2023-02-26T08:07:09.572458"",""date_transformed"":""2023-02-26T12:07:18.088592"",""detected_language"":""en"",""forwarded_from"":6441,""forwards"":16,""hashtags"":[],""id"":39105007,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""🇪"",""type"":""ORG""},{""text"":""🇸"",""type"":""PRODUCT""},{""text"":""Spain"",""type"":""GPE""},{""text"":""First"",""type"":""ORDINAL""}],""normalized_content"":""🇪 🇸 spain detects suspected case marburg disease"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""262186"",""raw_id"":39119061,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/timetravel211/262186"",""video_duration"":null,""video_title"":null,""views"":769}]",TRUE
"{""channels"":{""id"":[37]}}","1204327607","null",37,"{""category"":""qanon"",""country"":[""US""],""source"":""researcher""}","Inflammation is likely the cause of brain fog and vanishing memory during long COVID, according to a new study by the University of Washington Medicine.🤔","[]","2023-02-26T03:44:42","2023-02-26T08:07:09.576937","2023-02-26T12:07:07.311177","en",6441,4,"[]",39104607,"null","null","[]","[{""text"":""the University of Washington Medicine"",""type"":""ORG""},{""text"":""🤔"",""type"":""PERSON""}]","inflammation likely cause brain fog vanishing memory long covid according new study university washington medicine 🤔","[]","Telegram","262185",39119062,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/timetravel211/262185","null","null",790,"[{""_meta"":{""channels"":{""id"":[37]}},""author_id"":""1204327607"",""author_username"":null,""channel"":37,""channels"":{""category"":""qanon"",""country"":[""US""],""source"":""researcher""},""content"":""Inflammation is likely the cause of brain fog and vanishing memory during long COVID, according to a new study by the University of Washington Medicine.🤔"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T03:44:42"",""date_archived"":""2023-02-26T08:07:09.576937"",""date_transformed"":""2023-02-26T12:07:07.311177"",""detected_language"":""en"",""forwarded_from"":6441,""forwards"":4,""hashtags"":[],""id"":39104607,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""the University of Washington Medicine"",""type"":""ORG""},{""text"":""🤔"",""type"":""PERSON""}],""normalized_content"":""inflammation likely cause brain fog vanishing memory long covid according new study university washington medicine 🤔"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""262185"",""raw_id"":39119062,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/timetravel211/262185"",""video_duration"":null,""video_title"":null,""views"":790}]",TRUE
"{""channels"":{""id"":[37]}}","1204327607","null",37,"{""category"":""qanon"",""country"":[""US""],""source"":""researcher""}","Illness is your body detoxing from the pollution you breathe and eat. It can be ""contagious"" as we are Electric beings, so wawes tells your body it might be time for detox if you're close to another body detoxing waste. Look up exosomes, what they are and how they look in  microscope","[]","2023-02-26T03:02:30","2023-02-26T08:07:09.581024","2023-02-26T12:06:57.847756","en","null","null","[]",39104283,"null","null","[]","[{""text"":""Electric"",""type"":""ORG""}]","illness body detoxing pollution breathe eat "" contagious "" electric beings wawes tells body time detox close body detoxing waste look exosomes look   microscope","[]","Telegram","262184",39119063,39100635,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/timetravel211/262184","null","null","null","[{""_meta"":{""channels"":{""id"":[37]}},""author_id"":""1204327607"",""author_username"":null,""channel"":37,""channels"":{""category"":""qanon"",""country"":[""US""],""source"":""researcher""},""content"":""Illness is your body detoxing from the pollution you breathe and eat. It can be \""contagious\"" as we are Electric beings, so wawes tells your body it might be time for detox if you're close to another body detoxing waste. Look up exosomes, what they are and how they look in  microscope"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T03:02:30"",""date_archived"":""2023-02-26T08:07:09.581024"",""date_transformed"":""2023-02-26T12:06:57.847756"",""detected_language"":""en"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39104283,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Electric"",""type"":""ORG""}],""normalized_content"":""illness body detoxing pollution breathe eat \"" contagious \"" electric beings wawes tells body time detox close body detoxing waste look exosomes look   microscope"",""outlinks"":[],""platform"":""Telegram"",""platform_id"":""262184"",""raw_id"":39119063,""reply_to"":39100635,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/timetravel211/262184"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[37]}}","1204327607","null",37,"{""category"":""qanon"",""country"":[""US""],""source"":""researcher""}","Excellent interview with our friend, Dr. Mark Bailey.

https://odysee.com/@MaajidNawaz:d/38RadicalFull:f

""They say they don’t know for certain but by analogy. Virologists also admit they have never seen a virus in any body fluid. They assume “it” is there. Real scientific, right?…

Here is an excerpt from a discussion with a current practicing virologist admitting no “virus” has ever been found in body fluid.
Sophia -What is in sputum?
Pedro the Virologist – “A lot of different contaminants, which is why you culture it. That is exactly why you culture it.”
Sophia -How do you know there is a virus in there?
Pedro the Virologist – “MOST LIKELY there is (a virus in the sputum) because…”
Sophia -Wait, you have never seen it in the sputum?
Pedro the Virologist – “You haven’t, you haven’t.”
Sophia -You have never seen it from any fluid of the human body, correct?
Pedro the Virologist - “No, maybe not, maybe not which is why you culture it.”
“Yes we haven’t actually isolated the amount of particles necessary in a sputum sample to know the virus is there, so we take that…” (he gets cut off)
Sophia - See how you are presuming right there that there is a virus. My point is if we have never taken a particle from the sputum of somebody, from urine, from blood, whatever, anything, we have nothing to talk about. (conversation ends)
Claudio Bernardo - ""When we encounter a fact that contradicts a prevailing theory, we must accept the fact and abandon the theory, even when the theory is backed by big names and is generally accepted.""
Game - set - match for any proof of pathogenic viruses. If they are not in any bodily fluids, then how could they then spread? They can’t... They don’t even know how they would enter a cell; but these virologists overlook these facts; and want to go to their own lab created process in which they claim that despite a virus not showing up in the fluids of the body they claim they can show up in a petri dish as a result of their test processes. Who in their right mind thinks something happening in a petri dish would prove that is what actually happens in a human.""","[]","2023-02-26T02:59:32","2023-02-26T08:07:09.584984","2023-02-26T12:06:56.897099","en","null","null","[]",39104254,"null","null","[]","[{""text"":""Mark Bailey"",""type"":""PERSON""},{""text"":""Sophia"",""type"":""PERSON""},{""text"":""Pedro"",""type"":""PERSON""},{""text"":""Sophia"",""type"":""PERSON""},{""text"":""Pedro"",""type"":""PERSON""},{""text"":""MOST LIKELY"",""type"":""WORK_OF_ART""},{""text"":""Sophia -Wait"",""type"":""PERSON""},{""text"":""Pedro"",""type"":""PERSON""},{""text"":""Sophia"",""type"":""PERSON""},{""text"":""Pedro"",""type"":""PERSON""},{""text"":""Sophia - See"",""type"":""PERSON""},{""text"":""Claudio Bernardo"",""type"":""PERSON""}]","excellent interview friend dr. mark bailey 

 https://odysee.com/@maajidnawaz:d/38radicalfull:f 

 "" know certain analogy virologists admit seen virus body fluid assume “ ” real scientific right … 

 excerpt discussion current practicing virologist admitting “ virus ” found body fluid 
 sophia -what sputum 
 pedro virologist – “ lot different contaminants culture exactly culture ” 
 sophia -how know virus 
 pedro virologist – “ likely virus sputum … ” 
 sophia -wait seen sputum 
 pedro virologist – “ ” 
 sophia -you seen fluid human body correct 
 pedro virologist - “ maybe maybe culture ” 
 “ yes actually isolated particles necessary sputum sample know virus … ” gets cut 
 sophia - presuming right virus point taken particle sputum somebody urine blood talk conversation ends 
 claudio bernardo - "" encounter fact contradicts prevailing theory accept fact abandon theory theory backed big names generally accepted "" 
 game - set - match proof pathogenic viruses bodily fluids spread ... know enter cell virologists overlook facts want lab created process claim despite virus showing fluids body claim petri dish result test processes right mind thinks happening petri dish prove actually happens human ""","[""https://odysee.com/@MaajidNawaz:d/38RadicalFull:f""]","Telegram","262183",39119064,39099997,"TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/timetravel211/262183","null","null","null","[{""_meta"":{""channels"":{""id"":[37]}},""author_id"":""1204327607"",""author_username"":null,""channel"":37,""channels"":{""category"":""qanon"",""country"":[""US""],""source"":""researcher""},""content"":""Excellent interview with our friend, Dr. Mark Bailey.\n\nhttps://odysee.com/@MaajidNawaz:d/38RadicalFull:f\n\n\""They say they don’t know for certain but by analogy. Virologists also admit they have never seen a virus in any body fluid. They assume “it” is there. Real scientific, right?…\n\nHere is an excerpt from a discussion with a current practicing virologist admitting no “virus” has ever been found in body fluid.\nSophia -What is in sputum?\nPedro the Virologist – “A lot of different contaminants, which is why you culture it. That is exactly why you culture it.”\nSophia -How do you know there is a virus in there?\nPedro the Virologist – “MOST LIKELY there is (a virus in the sputum) because…”\nSophia -Wait, you have never seen it in the sputum?\nPedro the Virologist – “You haven’t, you haven’t.”\nSophia -You have never seen it from any fluid of the human body, correct?\nPedro the Virologist - “No, maybe not, maybe not which is why you culture it.”\n“Yes we haven’t actually isolated the amount of particles necessary in a sputum sample to know the virus is there, so we take that…” (he gets cut off)\nSophia - See how you are presuming right there that there is a virus. My point is if we have never taken a particle from the sputum of somebody, from urine, from blood, whatever, anything, we have nothing to talk about. (conversation ends)\nClaudio Bernardo - \""When we encounter a fact that contradicts a prevailing theory, we must accept the fact and abandon the theory, even when the theory is backed by big names and is generally accepted.\""\nGame - set - match for any proof of pathogenic viruses. If they are not in any bodily fluids, then how could they then spread? They can’t... They don’t even know how they would enter a cell; but these virologists overlook these facts; and want to go to their own lab created process in which they claim that despite a virus not showing up in the fluids of the body they claim they can show up in a petri dish as a result of their test processes. Who in their right mind thinks something happening in a petri dish would prove that is what actually happens in a human.\"""",""cryptocurrency_addresses"":[],""date"":""2023-02-26T02:59:32"",""date_archived"":""2023-02-26T08:07:09.584984"",""date_transformed"":""2023-02-26T12:06:56.897099"",""detected_language"":""en"",""forwarded_from"":null,""forwards"":null,""hashtags"":[],""id"":39104254,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[{""text"":""Mark Bailey"",""type"":""PERSON""},{""text"":""Sophia"",""type"":""PERSON""},{""text"":""Pedro"",""type"":""PERSON""},{""text"":""Sophia"",""type"":""PERSON""},{""text"":""Pedro"",""type"":""PERSON""},{""text"":""MOST LIKELY"",""type"":""WORK_OF_ART""},{""text"":""Sophia -Wait"",""type"":""PERSON""},{""text"":""Pedro"",""type"":""PERSON""},{""text"":""Sophia"",""type"":""PERSON""},{""text"":""Pedro"",""type"":""PERSON""},{""text"":""Sophia - See"",""type"":""PERSON""},{""text"":""Claudio Bernardo"",""type"":""PERSON""}],""normalized_content"":""excellent interview friend dr. mark bailey \n\n https://odysee.com/@maajidnawaz:d/38radicalfull:f \n\n \"" know certain analogy virologists admit seen virus body fluid assume “ ” real scientific right … \n\n excerpt discussion current practicing virologist admitting “ virus ” found body fluid \n sophia -what sputum \n pedro virologist – “ lot different contaminants culture exactly culture ” \n sophia -how know virus \n pedro virologist – “ likely virus sputum … ” \n sophia -wait seen sputum \n pedro virologist – “ ” \n sophia -you seen fluid human body correct \n pedro virologist - “ maybe maybe culture ” \n “ yes actually isolated particles necessary sputum sample know virus … ” gets cut \n sophia - presuming right virus point taken particle sputum somebody urine blood talk conversation ends \n claudio bernardo - \"" encounter fact contradicts prevailing theory accept fact abandon theory theory backed big names generally accepted \"" \n game - set - match proof pathogenic viruses bodily fluids spread ... know enter cell virologists overlook facts want lab created process claim despite virus showing fluids body claim petri dish result test processes right mind thinks happening petri dish prove actually happens human \"""",""outlinks"":[""https://odysee.com/@MaajidNawaz:d/38RadicalFull:f""],""platform"":""Telegram"",""platform_id"":""262183"",""raw_id"":39119064,""reply_to"":39099997,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/timetravel211/262183"",""video_duration"":null,""video_title"":null,""views"":null}]",TRUE
"{""channels"":{""id"":[37]}}","1204327607","null",37,"{""category"":""qanon"",""country"":[""US""],""source"":""researcher""}","https://twitter.com/TheChiefNerd/status/1629668080170287105?t=ByKZ8t4bmQxYXc3Gn6-mSQ&s=19","[]","2023-02-26T02:24:24","2023-02-26T08:07:09.588968","2023-02-26T12:06:50.881474","",5139,8,"[]",39104026,"null","null","[]","[]","","[""https://twitter.com/TheChiefNerd/status/1629668080170287105?t=ByKZ8t4bmQxYXc3Gn6-mSQ&s=19""]","Telegram","262182",39119065,"null","TelegramTelethonScraper 0.0.4","TelegramTelethonTransformer 0.0.3","https://t.me/timetravel211/262182","null","null",238,"[{""_meta"":{""channels"":{""id"":[37]}},""author_id"":""1204327607"",""author_username"":null,""channel"":37,""channels"":{""category"":""qanon"",""country"":[""US""],""source"":""researcher""},""content"":""https://twitter.com/TheChiefNerd/status/1629668080170287105?t=ByKZ8t4bmQxYXc3Gn6-mSQ&s=19"",""cryptocurrency_addresses"":[],""date"":""2023-02-26T02:24:24"",""date_archived"":""2023-02-26T08:07:09.588968"",""date_transformed"":""2023-02-26T12:06:50.881474"",""detected_language"":"""",""forwarded_from"":5139,""forwards"":8,""hashtags"":[],""id"":39104026,""likes"":null,""media"":null,""mentions"":[],""named_entities"":[],""normalized_content"":"""",""outlinks"":[""https://twitter.com/TheChiefNerd/status/1629668080170287105?t=ByKZ8t4bmQxYXc3Gn6-mSQ&s=19""],""platform"":""Telegram"",""platform_id"":""262182"",""raw_id"":39119065,""reply_to"":null,""scraper"":""TelegramTelethonScraper 0.0.4"",""transformer"":""TelegramTelethonTransformer 0.0.3"",""url"":""https://t.me/timetravel211/262182"",""video_duration"":null,""video_title"":null,""views"":238}]",TRUE
